Region,Year,Pop_Age_<25,Pop_Age_25-34,Pop_Age_35-44,Pop_Age_45-54,Pop_Age_55-64,Pop_Age_65 and above,Age_<25,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65 and above,propensity__<25,propensity__25-34,propensity__35-44,propensity__45-54,propensity__55-64,propensity__65 and above
V - Bicol,2015,3210793.0,758287.0,639654.0,523490.0,356774.0,301309.0,1.0,35.0,231.0,338.0,354.0,253.0,3.1144953910139955e-07,4.615666627543397e-05,0.0003611327373861494,0.0006456665838888995,0.0009922247697421898,0.0008396695750873688
V - Bicol,2016,3230080.0,789638.0,644599.0,526126.0,364106.0,310971.0,1.0,52.0,256.0,346.0,356.0,261.0,3.095898553596196e-07,6.585296047049408e-05,0.00039714613271196514,0.0006576371439541099,0.0009777372523386047,0.0008393065591325237
V - Bicol,2017,3246976.0,821054.0,649119.0,528347.0,371268.0,320557.0,1.0,67.0,255.0,346.0,354.0,262.0,3.079788701856743e-07,8.160242809851727e-05,0.00039284014179218296,0.0006548726499819248,0.0009534891237596561,0.0008173273395995096
V - Bicol,2018,3261571.0,852574.0,653232.0,530179.0,378292.0,330101.0,0.0,60.0,152.0,148.0,200.0,185.0,0.0,7.037512286323534e-05,0.00023268915178680774,0.00027915100371761237,0.0005286921214300064,0.0005604345336730274
V - Bicol,2019,3273909.0,884168.0,656946.0,531619.0,385169.0,339587.0,0.0,50.0,144.0,146.0,215.0,190.0,0.0,5.655033884963039e-05,0.00021919609830945008,0.000274632772718808,0.0005581965319119659,0.0005595031611928607
V - Bicol,2020,3284045.0,915884.0,660277.0,532682.0,391902.0,349046.0,0.0,42.0,146.0,147.0,217.0,193.0,0.0,4.5857335645125366e-05,0.00022111931810437136,0.00027596201861523385,0.0005537098560354374,0.0005529357162093249
VI - W. Visayas,2010,3743100.0,1018900.0,849100.0,691500.0,456500.0,419900.0,0.0,2.0,138.0,210.0,176.0,84.0,0.0,1.962901167926195e-06,0.00016252502649864562,0.0003036876355748373,0.0003855421686746988,0.00020004763038818766
VI - W. Visayas,2011,3744375.6,1038599.6000000001,858536.6,703672.0,473572.0,430173.39999999997,0.0,7.0,238.0,292.0,257.0,136.0,0.0,6.739844690870283e-06,0.000277215904365638,0.0004149660637342398,0.0005426841113917208,0.000316151579804795
VI - W. Visayas,2012,3745651.2,1058299.2000000002,867973.2,715844.0,490644.0,440446.80000000005,0.0,18.0,270.0,311.0,260.0,138.0,0.0,1.7008422570857084e-05,0.0003110695122844807,0.00043445219908248167,0.0005299157841530723,0.00031331820324270715
VI - W. Visayas,2013,3746926.8,1077998.7999999998,877409.8,728016.0,507716.0,450720.19999999995,0.0,19.0,272.0,310.0,261.0,151.0,0.0,1.7625251530892246e-05,0.0003100033758455855,0.00042581481725676356,0.0005140669193013417,0.0003350193756570041
